ID,"Churn (1=yes, 0=No)",Profit,Age,Cancelled,Months since start,Way of payment,Promotion,Region,Profit segment,Sex,Tariff model,Academic title,Revenue from calls (3 months ago),Fixed revenue (3 months ago),Revenue from roaming (3 months ago),Total revenue (3 months ago),Airtime to data service (1 month ago),Airtime incoming (1 month ago),Airtime to mobile (1 month ago),Calls to data service (3 months ago),Calls incoming (3 months ago),Calls roaming (3 months ago)
105,0,"0,536210514433577",28,0,12,Standing Order,0,7,D,Male,16,0,"1,87746351003243",0,0,"1,87746351003243",0,"97,3767774792285",0,0,5,0
106,1,"11,4306029718989",28,0,19,Standing Order,0,1,B,Male,5,0,"110,748343072794","28,12",0,"138,868343072794",0,"17296,9984958444","2160,2513335155",0,131,0
107,0,"198,407774011848",26,0,8,Unknown,0,1,C,Female,16,0,"75,1703975055525","28,12",0,"103,290397505553",0,"4992,39214852426","1440,00015601834",0,28,0
108,0,"7,28810879015369",23,0,10,Standing Order,0,5,C,Male,5,0,"162,785475518685","30,71",0,"193,495475518685",0,"3050,22073070676","1695,53721098124",0,95,0
109,0,"31,7389489320001",28,0,14,Standing Order,0,4,D,Male,16,0,"0,597414677499337","30,71",0,"31,3074146774993",0,"629,488310618659","117,652656397632",0,10,0
110,0,"14,5661256689282",25,0,17,Standing Order,0,3,D,Male,16,0,"11,6297784164276","28,12","31,1588290742215","70,9086074906492",0,"35,144169502813","205,517643193974",0,47,0
111,0,"176,846089024855",29,0,14,Standing Order,0,4,C,Male,16,0,"51,6290659714201","28,12",0,"79,7490659714201",0,"1838,60147825134","1223,51316264987",0,31,0
112,0,"65,521602198238",27,0,34,Standing Order,0,5,D,Male,5,0,"17,4889632540915","30,71",0,"48,1989632540915",0,"1587,70074097052","1781,0477240078",0,31,0
113,0,"15,9347452027549",26,0,8,Standing Order,0,4,D,Female,5,0,"0,238720929546011","28,12",0,"28,358720929546",0,"51,2262234799015",0,0,0,0
114,0,"54,0233885610108",25,0,10,Standing Order,0,5,D,Male,5,0,"57,3456668322526","28,12",0,"85,4656668322526",0,"186,971444731301",0,0,14,0
115,0,"41,5119401042768",32,0,24,Standing Order,0,1,D,Male,5,0,"0,36732055785753","30,71",0,"31,0773205578575",0,"14,8078062191796",0,0,0,0
116,1,"208,485765934454",22,0,23,Standing Order,0,3,C,Male,3,0,"153,203015547216","45,36","36,3947144721807","234,957730019397",0,"112,8293973846","297,465586412408",0,34,3
117,0,"142,056682638151",35,0,26,Standing Order,0,7,C,Female,16,0,"87,7403925028509","30,71",0,"118,450392502851",0,"22660,9795527105","3813,88195597734",0,298,0
118,0,"166,735814652299",24,0,11,Standing Order,0,7,C,Male,16,0,"114,203895068721","28,12",0,"142,323895068721",0,"9666,46181126537","498,272750129294",0,71,0
119,0,"146,675236465399",25,0,6,Standing Order,0,4,E,Male,16,0,"70,6032978100562","28,12","5,69705444312123","104,420352253177",0,"2974,81899741018","479,602844274024",0,21,0
120,0,"37,6363831812054",31,0,14,Standing Order,0,5,D,Male,16,0,"15,3186632224074","28,12",0,"43,4386632224074",0,"1064,38374108723","158,004643713833",0,20,0
121,0,"103,763982865386",23,0,10,Standing Order,0,4,D,Male,16,0,"30,6135036807611","28,12",0,"58,7335036807611",0,"1128,87349455298","825,610095360116",0,53,0
122,0,"8,04533377242181",35,0,35,Standing Order,0,7,D,Male,5,0,"7,42336347492685","28,12",0,"35,5433634749268",0,"11,3831963051708",0,0,1,0
123,0,"24,4885013795602",34,0,13,Standing Order,0,7,C,Male,16,0,"83,0112308561758","28,12",0,"111,131230856176",0,"1729,76714016216",0,0,90,3
124,0,"62,9710085170213",21,0,10,Standing Order,0,6,D,Male,16,0,"29,2654896006647","28,12",0,"57,3854896006647",0,"972,52991506687","36,844886898542",0,52,0
125,1,"323,64314090249",34,0,12,Standing Order,0,1,C,Male,16,0,"80,3957610201477","30,71",0,"111,105761020148",0,"8245,58341329735","9505,9875426902",0,140,2
126,0,"107,363034331348",31,0,10,Standing Order,0,3,D,Male,3,0,"45,9115455848238","45,36",0,"91,2715455848239",0,"1693,60485480503","466,44834174502",0,27,0
127,0,"305,458788995947",28,0,11,Standing Order,0,7,C,Female,16,0,"39,8508157983752","28,12",0,"67,9708157983752",0,"2365,09786585877","3299,38985895747",0,36,0
128,0,"120,256194348031",21,0,24,Standing Order,0,1,D,Male,5,0,"31,1702724793703","28,12","4,40637301112753","63,6966454904978",0,"3345,15483988318","2537,47456229344",0,44,0
129,0,"199,917038538604",23,0,24,Standing Order,0,4,C,Male,16,0,"110,521175740157","28,12",0,"138,641175740157",0,"3712,33275799281","1056,76516992978",0,20,0
130,0,"75,9093394111838",25,0,10,Standing Order,0,5,D,Male,16,0,"26,6544954539478","30,71",0,"57,3644954539478",0,"3147,71192800194","438,867922925997",0,31,0
131,0,"9,5249394514799",30,0,12,Standing Order,0,9,D,Male,5,0,0,"4,89",0,"4,89",0,"1377,34699009973",0,0,1,0
132,0,"38,6552774464957",27,0,27,Standing Order,0,3,D,Male,5,0,"39,8236711120413","28,12",0,"67,9436711120413",0,"59,9483095008765",0,0,2,0
133,0,"9,03952229880693",35,0,22,Standing Order,0,1,D,Male,16,0,"17,4939561317235","28,12",0,"45,6139561317235",0,"4353,72641282264","443,400578865634",0,47,0
134,0,"110,251804505699",24,0,10,Standing Order,0,3,D,Male,16,0,"33,3893838381841","28,12",0,"61,5093838381841",0,"2764,65023548717",0,0,54,0
135,0,"73,0960219473365",27,0,28,Standing Order,0,2,D,Male,5,0,"48,6636690624884","30,71",0,"79,3736690624884",0,0,0,0,13,2
136,0,"71,3169425859473",25,0,17,Standing Order,0,3,D,Male,16,0,"11,6674579610917","28,12","23,030167259766","62,8176252208577",0,"34,652249375604","202,070001048556",0,48,0
137,0,"55,5825094114842",21,0,6,Standing Order,0,0,E,Female,16,0,"7,83381298418447","28,12",0,"35,9538129841845",0,"24,0223769975918","42,6092528100889",0,3,0
138,0,"35,6265664783283",29,0,33,Standing Order,0,8,D,Male,5,0,"49,1047675491506","28,12",0,"77,2247675491506",0,"225,321009306741","357,275736645617",0,16,0
139,0,"94,5904610499516",22,0,10,Standing Order,0,4,D,Male,16,0,"23,9805348729057","28,12","68,6319539516617","120,732488824567",0,"3606,83770622817","793,181847596258",0,47,0
140,0,"62,5955426912728",25,0,7,Standing Order,0,7,E,Male,5,1,"80,3963580413712","30,71","0,508780565602115","111,615138606973",0,"22,0847177943954",0,0,5,0
141,0,"117,622456390142",25,0,21,Standing Order,0,5,C,Male,5,0,"102,854938305265","28,12",0,"130,974938305265",0,"627,064705092003","89,8606343643471",0,18,0
142,0,"40,9503365663611",32,0,26,Standing Order,0,F,D,Male,16,0,"1,43520321802393","30,71","4,69660619240597","36,8418094104299",0,"1269,11229738356","167,829262003195",0,24,0
143,0,"95,0031136603181",20,0,16,Standing Order,0,7,D,Male,16,0,"24,5275511013563","28,12",0,"52,6475511013563",0,"17209,7709384362","6724,32078393837",0,61,0
144,0,"17,9142116267741",35,0,23,Standing Order,0,2,D,Female,5,0,0,"28,12",0,"28,12",0,"23,0445637091222","41,481136887495",0,2,0
145,0,"46,1587994788841",32,0,25,Standing Order,0,4,D,Male,16,0,"10,2059762473789","30,71",0,"40,9159762473789",0,"296,024875006243",0,0,13,0
146,0,"47,105838014832",29,0,15,Standing Order,0,5,D,Male,16,0,"18,263613056087","28,12",0,"46,383613056087",0,"100,649259205119",0,0,13,0
147,0,"141,282917719905",21,0,10,Standing Order,0,6,D,Male,16,0,"30,2660812688577","28,12",0,"58,3860812688577",0,"1040,45310073599","51,7406544232279",0,55,0
148,0,"62,1133488110998",36,0,18,Standing Order,0,4,D,Male,5,0,"3,57264657906739","30,71",0,"34,2826465790674",0,"84,8382998573258",0,0,4,0
149,0,"50,2838829134304",31,0,30,Standing Order,0,7,D,Female,5,1,0,"30,71",0,"30,71",0,"9,98517465421458",0,0,1,0
150,0,"36,1388112912189",21,0,8,Standing Order,0,3,D,Male,16,0,"40,2804737120676","28,12",0,"68,4004737120676",0,"6772,01440657154","2157,70852761229",0,46,0
151,0,"58,211891695527",28,0,9,Standing Order,0,5,D,Male,5,0,"41,5356771955726","28,12",0,"69,6556771955726",0,"563,912413154759",0,0,22,0
152,0,"44,0586227528646",31,0,14,Standing Order,0,2,D,Male,5,0,0,"28,12",0,"28,12",0,0,0,0,2,0
153,1,"342,423759139559",23,0,10,Standing Order,0,3,B,Female,5,0,"45,3781360992116","28,12","118,131024296329","191,629160395541",0,"24648,3252912689","4228,7443452522",0,273,0
154,0,"122,296252642049",30,0,25,Standing Order,0,2,B,Male,16,0,"9,84033543446423","45,36",0,"55,2003354344642",0,"354,152487799994","134,799709803757",0,0,0
155,0,"28,8472631085483",26,0,14,Standing Order,0,5,D,Male,8,0,"3,31952401517917",0,0,"3,31952401517917",0,"11,115991950412",0,0,9,0
156,0,"69,7049420306521",34,0,10,Standing Order,0,0,D,Male,5,0,"51,9378672440208","30,71","4,64733646782884","87,2952037118496",0,"201,618429408533",0,0,6,0
157,0,"131,769967728233",20,0,13,Standing Order,0,1,C,Female,5,0,"115,544402073907","28,12",0,"143,664402073907",0,"4755,32139705344","2514,61885086936",0,152,0
158,0,"49,4224445525302",24,0,25,Standing Order,0,1,D,Male,16,0,"11,8668035916603","28,12",0,"39,9868035916603",0,"437,061945250045","329,292898281841",0,22,0
159,0,"5,86155613670219",24,0,24,Standing Order,0,8,D,Male,16,0,"25,3615239338385","45,36",0,"70,7215239338385",0,"455,522207878779","1344,77316374828",0,19,0
160,0,"0,966790051114921",28,0,21,Standing Order,0,1,D,Male,5,0,0,"28,12",0,"28,12",0,"1805,6867333299",0,0,1,0
161,0,"60,9121659285793",29,0,7,Standing Order,0,7,E,Male,5,0,"1,05142947563272","28,12",0,"29,1714294756327",0,"169,296461877247","207,78277273041",0,42,0
162,0,"54,2567205364566",24,0,26,Standing Order,0,5,D,Male,5,0,"11,7798590218327","30,71",0,"42,4898590218327",0,"213,562191431351",0,0,32,1
163,0,"45,320272536319",33,0,19,Standing Order,0,8,C,Male,5,0,"27,3789985508354","28,12",0,"55,4989985508354",0,"696,301704959102","244,534843918071",0,26,0
